City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Lagos,NG,82.72,scattered clouds,6.5833,3.75,
8,Atuona,PF,77.85,few clouds,-9.8,-139.0333,Villa Enata
9,Hermanus,ZA,70.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
11,Port Elizabeth,ZA,74.1,few clouds,-33.918,25.5701,39 On Nile Guest House
15,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
16,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
19,Touros,BR,85.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
22,Tumaco,CO,78.57,overcast clouds,1.7986,-78.8156,Dafneruben
24,Gao,ML,72.16,clear sky,16.6362,1.637,
29,Mancio Lima,BR,80.67,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
30,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Faanui,PF,80.28,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Manaus,BR,82.9,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
40,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
41,Chuy,UY,79.07,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
43,Rikitea,PF,76.33,overcast clouds,-23.1203,-134.9692,People ThankYou
44,Kapaa,US,77.32,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Ambilobe,MG,75.43,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
47,Vaini,TO,80.06,light rain,-21.2,-175.2,Keleti Beach Resort
48,San Pedro De Los Naranjos,MX,76.39,clear sky,20.25,-100.9833,Antiguo Molino
51,Luganville,VU,76.73,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
54,Cabo San Lucas,MX,79.9,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
56,Palmas,BR,85.87,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
66,Moyale,KE,72.81,broken clouds,3.5167,39.0584,La Tahzan Guest House
67,Gogrial,SS,75.29,overcast clouds,8.5332,28.1004,
69,Kruisfontein,ZA,71.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
72,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
73,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
74,Tucurui,BR,78.94,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
77,Kavieng,PG,80.58,broken clouds,-2.5744,150.7967,Nusa Island Retreat
78,Acari,PE,79.59,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
79,Fare,PF,80.17,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
81,Tucuman,AR,88.86,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
83,Puebloviejo,CO,86.2,few clouds,10.9938,-74.2844,The Journey Hostel
84,Mar Del Plata,AR,84.22,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
90,Pisco,PE,75.25,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
93,Port Alfred,ZA,74.61,overcast clouds,-33.5906,26.891,The Halyards Hotel
94,Isangel,VU,77.9,overcast clouds,-19.55,169.2667,Tanna Lodge
95,Edd,ER,80.24,few clouds,13.9297,41.6925,
96,Moroni,KM,79.88,few clouds,-11.7022,43.2551,Hotel les Arcades
97,Gurupa,BR,77.79,overcast clouds,-1.405,-51.64,Hotel Vitória
98,Katete,UG,70.61,overcast clouds,-0.7818,29.7544,
101,Pamekasan,ID,77.67,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
104,Dingle,PH,74.79,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
105,Lat Yao,TH,74.52,clear sky,15.751,99.7893,โรงแรมสอระ
107,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
116,Lompoc,US,72.1,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
119,Hobyo,SO,76.87,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
121,Wawa,NG,79.56,overcast clouds,9.9022,4.4192,
122,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
124,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
125,San Borja,BO,82.92,broken clouds,-14.8167,-66.85,
127,Mwanza,TZ,71.98,overcast clouds,-2.5167,32.9,Gold Crest Hotel
129,Samarai,PG,80.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
130,Sibolga,ID,76.41,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
131,Wajid,SO,79.21,overcast clouds,3.8093,43.2471,xamdihotelresturant114
134,Ballina,AU,72.79,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
135,Auki,SB,77.86,overcast clouds,-8.7676,160.7034,Auki Motel
139,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
140,Sri Aman,MY,77.05,light rain,1.2376,111.4621,Seri Simanggang Hotel
144,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
145,Ahuimanu,US,78.78,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
147,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
151,Hithadhoo,MV,81.61,overcast clouds,-0.6,73.0833,Scoop Guest House
155,Te Kauwhata,NZ,72.43,overcast clouds,-37.4,175.15,Jonios Olive Grove Estate & Accommodation
160,Kieta,PG,79.18,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
164,Namibe,AO,73.45,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
167,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
169,Labuhan,ID,78.85,overcast clouds,-6.8844,112.2051,DoubleFAG
174,Sinnamary,GF,78.67,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
175,Ponedera,CO,86.14,broken clouds,10.641,-74.7503,HOTEL SHALOM
179,Cidreira,BR,75.99,clear sky,-30.1811,-50.2056,Hotel Castelo
181,Atar,MR,82.06,overcast clouds,20.5169,-13.0499,Oumou Elghoura
188,Xapuri,BR,73.89,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
191,Qui Nhon,VN,75.27,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
192,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
195,Vao,NC,79.09,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
200,Manaquiri,BR,82.89,overcast clouds,-3.3167,-60.35,
210,Hambantota,LK,76.68,clear sky,6.1241,81.1185,Bungalow 63
213,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
216,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
218,Yeppoon,AU,73.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
219,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
220,Pontes E Lacerda,BR,78.46,overcast clouds,-15.2261,-59.3353,Hotel Bressan
222,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
223,Huarmey,PE,73.17,overcast clouds,-10.0681,-78.1522,Hotel Miramar
224,Burgersdorp,ZA,76.44,overcast clouds,-30.9977,26.3286,DeKat Self Catering
227,Oussouye,SN,82.58,overcast clouds,12.485,-16.5469,Auberge du Routard
231,Santa Isabel,BR,72.36,light rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
233,Broken Hill,AU,80.01,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
238,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
244,Trairi,BR,76.53,overcast clouds,-3.2778,-39.2689,janelas do mar
245,Butaritari,KI,81.91,light rain,3.0707,172.7902,Isles Sunset Lodge
248,Lorengau,PG,78.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
250,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
251,Itaituba,BR,84.36,light rain,-4.2761,-55.9836,Hotel Campos
254,Mucurapo,TT,84.02,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
255,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
256,Sao Filipe,CV,71.65,overcast clouds,14.8961,-24.4956,Hotel Xaguate
258,Vieques,PR,85.84,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
262,Omboue,GA,78.91,overcast clouds,-1.5746,9.2618,Hotel Olako
263,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
264,Karratha,AU,82.72,broken clouds,-20.7377,116.8463,ibis Styles Karratha
268,Galesong,ID,75.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
271,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
272,Sao Paulo De Olivenca,BR,88.57,overcast clouds,-3.3783,-68.8725,
277,Matara,LK,75.85,few clouds,5.9485,80.5353,Amaloh Boutique Resort
280,Iquitos,PE,87.84,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
282,Bengkulu,ID,76.08,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
284,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
288,Aripuana,BR,75.42,moderate rain,-9.1667,-60.6333,
289,Madras,IN,78.96,mist,13.0878,80.2785,City home
293,Meulaboh,ID,77.52,overcast clouds,4.1363,96.1285,Kost Pria
298,Boyolangu,ID,75.29,overcast clouds,-8.1181,111.8935,Yos ega cv
299,Pemba,MZ,79.5,broken clouds,-12.974,40.5178,Guesthouse Samotina
301,Payo,ID,72.25,very heavy rain,-3.7508,103.6372,Mess keban agung
305,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
306,Bandarbeyla,SO,76.05,overcast clouds,9.4942,50.8122,JABIR HOTEL
307,Kloulklubed,PW,81.82,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
309,Tecoanapa,MX,84.29,clear sky,16.5167,-98.75,Hotel Manglares
313,Talcahuano,CL,73.08,clear sky,-36.7167,-73.1167,departamento comodo
315,Bredasdorp,ZA,70.92,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
325,Padilla,CO,80.17,overcast clouds,3.2204,-76.3139,La Granadina
329,Puerto Suarez,BO,88.36,broken clouds,-18.95,-57.8,Hotel casa real
337,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
340,Anito,PH,75.25,scattered clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
341,Merauke,ID,77.29,overcast clouds,-8.4667,140.3333,
344,Hounde,BF,82.58,broken clouds,11.5,-3.5167,Carrefour où ouvriers dorment
346,Nabire,ID,74.66,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
353,Upata,VE,87.6,overcast clouds,8.0086,-62.3989,Posada Villa Nela
356,Micomeseng,GQ,72.34,overcast clouds,2.1462,10.6164,
358,Vung Tau,VN,78.17,scattered clouds,10.346,107.0843,Green hotel
360,East London,ZA,75.04,overcast clouds,-33.0153,27.9116,Tu Casa
367,Ambulu,ID,76.62,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
371,Axim,GH,80.01,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
372,Namatanai,PG,78.75,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
376,Hualmay,PE,73.51,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
377,Puerto Colombia,CO,86.09,clear sky,10.9878,-74.9547,Hotel El Emigrante
378,Pimentel,PE,79.09,clear sky,-6.8367,-79.9342,Casona Del Muelle
379,Mitsamiouli,KM,80.89,clear sky,-11.3847,43.2844,Foyer ADM
380,Port Augusta,AU,81.72,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
381,Morondava,MG,82.62,scattered clouds,-20.2833,44.2833,La Case Bambou
382,Kupang,ID,79.84,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
389,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
391,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
393,Benjamin Constant,BR,89.73,light rain,-4.3831,-70.0311,CASA AVALIADA
395,Nuqui,CO,84.9,light rain,5.7125,-77.2708,Hotel Nuquimar
398,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
400,Taoudenni,ML,75.99,overcast clouds,22.6783,-3.9836,
405,Belmonte,BR,82.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
407,Rockport,US,71.85,overcast clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
409,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
414,Harper,LR,80.19,broken clouds,4.375,-7.7169,Screensaver
415,Santa Maria,BR,83.5,few clouds,-29.6842,-53.8069,Hotel Morotin
419,Gamboula,CF,75.87,overcast clouds,4.1178,15.1393,
423,Sola,VU,77.68,overcast clouds,-13.8833,167.55,Leumerus Bungalows
426,Barra,BR,83.89,scattered clouds,-11.0894,-43.1417,Motel Albatroz
428,Richards Bay,ZA,72.28,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
429,Mulchen,CL,75.06,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
435,Hervey Bay,AU,73.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
438,Dano,BF,82.94,broken clouds,11.15,-3.0667,Auberge Phenix32-Dano
439,Carire,BR,75.02,overcast clouds,-3.9506,-40.4733,POUSADA PAIVA
440,Yaan,NG,81.57,overcast clouds,7.3833,8.5667,
451,Tual,ID,83.79,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
452,Oum Hadjer,TD,70.05,clear sky,13.2954,19.6966,
458,Metro,ID,75.58,heavy intensity rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
465,Rio Grande,BR,80.71,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
469,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
470,Poya,NC,78.35,overcast clouds,-21.35,165.15,
474,Eyl,SO,75.0,overcast clouds,7.9803,49.8164,Amiin Hotel
477,Vanimo,PG,76.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
478,Cove,BJ,82.2,broken clouds,7.221,2.3402,TG Hôtel
479,San Patricio,US,72.32,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
481,Kirakira,SB,81.0,light rain,-10.4544,161.9205,SanBiz Lodge
483,El Alto,PE,78.46,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
486,Coronado,US,77.43,clear sky,32.6859,-117.1831,El Cordova Hotel
488,Mangochi,MW,71.01,clear sky,-14.4782,35.2645,Fort Johnstone Hotel
504,Sangmelima,CM,71.62,overcast clouds,2.9333,11.9833,gamestar hotel
509,Kikwit,CD,76.98,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
515,Mogadishu,SO,77.32,broken clouds,2.0371,45.3438,Hotel Juba
518,Bocas Del Toro,PA,79.86,clear sky,9.3333,-82.25,Hotel Bocas del Toro
521,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
526,Labuan,MY,77.36,light rain,5.2767,115.2417,Tiara Labuan Hotel
528,Alofi,NU,75.09,shower rain,-19.0595,-169.9187,Taloa Heights
538,Yulara,AU,73.24,light rain,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
542,Adrar,MR,78.28,overcast clouds,20.5022,-10.0711,
543,Tra Vinh,VN,73.0,few clouds,9.9347,106.3453,Hồng Ân
546,Ipixuna,BR,85.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
547,Sungai Besar,MY,77.05,broken clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
554,Moree,AU,71.62,overcast clouds,-29.4667,149.85,Molika Springs Motel
557,Calama,CL,72.09,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
558,Manjeshwar,IN,79.75,clear sky,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
561,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
563,Lazaro Cardenas,MX,83.8,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
572,Bangolo,CI,75.13,overcast clouds,7.0069,-7.475,RESIDENCE HÔTEL GNININSEMIN DE BANGOLO
573,Cairns,AU,76.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
574,Mutuipe,BR,75.09,heavy intensity rain,-13.2286,-39.5047,Hotel Portal do Vale
585,Tres Palos,MX,83.01,clear sky,18.1833,-101.6167,
589,Byron Bay,AU,73.87,overcast clouds,-28.65,153.6167,Backpackers Inn
590,Sulangan,PH,81.19,broken clouds,11.1373,123.7228,Maia's Beach Resort
592,Garissa,KE,79.52,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
594,Sabang,ID,81.5,broken clouds,5.8933,95.3214,Hotel Citra
595,Sao Gabriel Da Cachoeira,BR,84.72,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
597,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
599,Kampong Chhnang,KH,74.43,broken clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
600,Daru,PG,75.63,light rain,-9.0763,143.2092,Daru Lodge
602,Lucea,JM,73.26,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
606,Kalmunai,LK,76.77,scattered clouds,7.4167,81.8167,VS Villa
609,Beloha,MG,73.02,overcast clouds,-25.1667,45.05,
610,Roebourne,AU,84.7,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
613,Antofagasta,CL,73.22,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
614,Pires Do Rio,BR,72.0,overcast clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
617,Buala,SB,80.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
618,Manggar,ID,78.01,overcast clouds,-2.8833,108.2667,Guest Hotel
620,Cam Ranh,VN,73.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
624,Batie,BF,80.28,few clouds,9.8833,-2.9167,Auberge SONDAR AFACI
625,Keti Bandar,PK,71.31,clear sky,24.1447,67.4497,Haji laloo memon house
632,Tari,NG,72.39,broken clouds,12.4086,4.4914,
639,Pangkalanbuun,ID,74.79,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
641,Araouane,ML,74.48,scattered clouds,18.9048,-3.5265,
643,Antalaha,MG,75.85,few clouds,-14.9003,50.2788,Hotel Vitasoa
646,Praya,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
650,Ewa Beach,US,79.09,clear sky,21.3156,-158.0072,Uncle Junior Robert
656,Marovoay,MG,82.54,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
661,Viedma,AR,70.29,broken clouds,-40.8135,-62.9967,Hotel Cristal
664,Fortuna Foothills,US,72.21,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
667,Gorontalo,ID,73.65,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
668,Banda Aceh,ID,76.53,broken clouds,5.5577,95.3222,Sulthan Hotel International
671,Kipini,KE,79.09,broken clouds,-2.5257,40.5262,Delta Sea Mall
674,Dhidhdhoo,MV,81.39,scattered clouds,6.8833,73.1,Dhidhoo beach
679,Tessalit,ML,71.15,few clouds,20.1986,1.0114,
689,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
692,Necochea,AR,72.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
696,Acarau,BR,77.31,overcast clouds,-2.8856,-40.12,castelo pizzaria
702,Kavaratti,IN,81.28,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
704,Gizo,SB,82.96,light rain,-8.103,156.8419,Imagination Island
707,Mbandaka,CD,77.9,overcast clouds,0.0487,18.2603,Guest House Epervier
708,Imbituba,BR,75.09,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
